id,neighborhood,latitude,longitude,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality,maid_room,unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,maid_service,networked,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,security,shared_gym,shared_pool,shared_spa,study,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet,distance_to_burj_khalifa,distance_to_burj_al_arab,distance_to_dubai_frame,distance_to_dubai_marina,distance_to_museum_of_the_future,distance_to_dubai_creek,distance_to_palm_jumeirah,distance_to_jbr
7082844,Dubai Hills Estate,25.109367,55.247980000000005,1850000,1993,928.25,3,4,Medium,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,10.122127570080124,7.266994577471256,15.09677650849599,11.737325699810924,10.8573768827535,17.753701315790348,11.06882289408984,11.65255164423783
7091752,Umm Suqeim,25.137409,55.188957,2090000,1365,1531.14,2,3,Low,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.869372643803201,0.5880930164290863,15.541047155591121,8.577615559723208,11.135108407003614,18.59054860483005,5.8211479057808715,8.259746619799213
7091934,Meydan,25.145181,55.288017,1425000,1535,928.34,2,3,Low,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.944360484030301,10.378566901441978,10.3435138171646,17.004508108962494,6.852000245451543,12.635906045671252,15.523612295200083,16.85318928940218
7092201,Dubai Marina,25.070605,55.133230000000005,1595000,1350,1181.48,2,2,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.002748046948284,9.432204004393224,24.807930403660922,0.7323019569982492,20.357681791172514,27.836499876841007,4.684254220659118,1.10813831612913
7093948,Dubai Marina,25.086376,55.14736,975000,627,1555.02,1,1,Medium,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,17.759156138779932,7.187538445174645,22.551576070572228,1.528827718984168,18.104789963328944,25.58257761563066,3.0508405848339266,1.2697737542992147
7098857,Jumeirah Beach Residence,25.072954,55.128089,3400000,1672,2033.49,2,3,Medium,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,20.193996964601915,9.517993453904767,24.96060114192494,0.9970546045113945,20.525728129594352,27.999482582298057,4.511393295085613,1.1837665048698494
7110423,Business Bay,25.189124,55.26418,2050000,2197,933.09,3,4,Low,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.3652298159899554,9.580175803875672,6.31325895839638,17.91960311426753,1.8660162888536735,9.24805487677436,15.285206991488687,17.64659608628234
7110490,Motor City,25.046147,55.249375,995000,1670,595.81,2,1,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.984232873429384,12.408508571167967,21.838891100479092,11.757210078366425,17.772778565769627,24.295855250368465,13.417395742561459,11.93805428271134
7114232,Dubai Hills Estate,25.109367,55.247980000000005,1300000,1182,1099.83,2,3,Medium,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,10.122127570080124,7.266994577471256,15.09677650849599,11.737325699810924,10.8573768827535,17.753701315790348,11.06882289408984,11.65255164423783
7132234,Motor City,25.046147,55.249375,1100000,1670,658.68,2,3,Medium,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,16.984232873429384,12.408508571167967,21.838891100479092,11.757210078366425,17.772778565769627,24.295855250368465,13.417395742561459,11.93805428271134
